"ID_Campo","top","bot","SOL_BD","SOL_AWC","SOL_K","SOL_CBN","SOL_CLAY","SOL_SILT","SOL_SAND","USLE_K","X","Y","TEXTURE","Estrato_cm"
"19",0,30,0.453333333,15.63297912,4.86,5.46,36,22.52,41.48,0.146370647185595,360071.1642,2302805.759,"CLAY_LOAM","0-30 cm"
"2",0,30,1.413333333,20.17105012,2.43,3.12,26,54.52,19.48,0.200291370024117,337685.5303,2284942.578,"SILT_LOAM","0-30 cm"
"20",0,30,1.086666667,14.177817514,3.85,2.652,28,14.52,57.48,0.140596051217146,354189.7916,2309697.861,"SANDY_CLAY_LOAM","0-30 cm"
"22",0,30,1.26,14.05250429,2.95,2.184,22,38.52,39.48,0.170802842156931,379296.6919,2281780.506,"LOAM","0-30 cm"
"23",0,30,0.886666667,13.43697706,0.82,5.46,24,36.52,39.48,0.167871662004987,351713.9449,2290192.234,"LOAM","0-30 cm"
"24",0,30,1.113333333,17.4446541,1.42,2.34,34,40.52,25.48,0.167430211790708,363647.6509,2264674.164,"CLAY_LOAM","0-30 cm"
"25",0,30,0.833333333,14.24556358,0.75,4.758,28,36.52,35.48,0.165057701533427,355695.9832,2281383.153,"CLAY_LOAM","0-30 cm"
"26",0,30,0.773333333,12.71036979,1.56,1.872,18,48.52,33.48,0.180883004051155,335890.99,2273858.428,"LOAM","0-30 cm"
"27",0,30,1.226666667,6.42052907,1.06,4.68,26,30.52,43.48,0.162056183975283,362566.7048,2281214.058,"LOAM","0-30 cm"
"28",0,30,1.04,9.28793279,2.49,2.34,22,60.52,17.48,0.22319143097848,343545.2009,2304427.429,"SILT_LOAM","0-30 cm"
"29",0,30,1.046666667,11.14610579,3.99,1.56,30,50.52,19.48,0.192052233811931,380051.9184,2277952.122,"SILTY_CLAY_LOAM","0-30 cm"
"30",0,30,1.22,6.94391999,2.76,3.9,20,22.52,57.48,0.160357507082149,341870.0121,2295386.762,"SANDY_CLAY_LOAM","0-30 cm"
"31",0,30,1.493333333,5.60723319,2.39,4.212,22,30.52,47.48,0.165557855548169,373640.9399,2289290.411,"LOAM","0-30 cm"
"32",0,30,1.16,20.34445082,1.53,1.638,22,52.52,25.48,0.188175477609199,337048.1998,2292585.11,"SILT_LOAM","0-30 cm"
"34",0,30,0.913333333,20.76008433,3.94,3.432,29.84,47.08,23.08,0.179259369446608,356826.0573,2288908.113,"CLAY_LOAM","0-30 cm"
"35",0,30,0.733333333,13.16832252,4.79,2.808,25.84,51.08,23.08,0.186737643701661,356757.1042,2272281.646,"SILT_LOAM","0-30 cm"
"36",0,30,0.873333333,10.13532713,1.44,5.616,29.84,19.08,51.08,0.146760998079835,347536.55,2248401.936,"SANDY_CLAY_LOAM","0-30 cm"
"37",0,30,0.886666667,10.06539493,2.63,4.446,33.84,17.08,49.08,0.140325623891794,383510.4123,2292998.223,"SANDY_CLAY_LOAM","0-30 cm"
"38",0,30,0.933333333,31.89567325,3.08,1.95,21.84,65.08,13.08,0.262350580049617,351840.4453,2269483.781,"SILT_LOAM","0-30 cm"
"4",0,30,0.88,8.04460539999999,1.27,2.808,26,56.52,17.48,0.211271375090539,364998.6103,2269985.324,"SILT_LOAM","0-30 cm"
"40",0,30,1.32,11.576818082,3.62,1.56,13.84,33.08,53.08,0.176169256448246,353395.8794,2257140.506,"LOAMY_SAND","0-30 cm"
"7",0,30,1.593333333,6.73168702,0.7,1.56,26,16.52,57.48,0.146927305335233,370045.6687,2291703.423,"SANDY_CLAY_LOAM","0-30 cm"
"8",0,30,0.773333333,10.25213979,5.41,6.318,44,22.52,33.48,0.141087979486219,359471.7133,2257170.252,"CLAY","0-30 cm"
